Episode,Total Reward,Epsilon
796,103.8,0.019
797,101.8,0.018
798,101.5,0.018
799,101.2,0.018
800,101.8,0.018
801,99.7,0.018
802,101.2,0.018
803,-13.999999999999988,0.018
804,103.8,0.018
805,104.2,0.018
806,102.7,0.018
807,-10.59999999999998,0.018
808,101.2,0.017
809,100.6,0.017
810,99.7,0.017
811,-10.599999999999978,0.017
812,-8.89999999999999,0.017
813,100.8,0.017
814,102.1,0.017
815,101.8,0.017
816,165.5,0.017
817,101.8,0.017
818,103.9,0.017
819,101.8,0.016
820,101.2,0.016
821,101.8,0.016
822,99.7,0.016
823,99.7,0.016
824,101.2,0.016
825,-11.799999999999985,0.016
826,16.600000000000005,0.016
827,99.7,0.016
828,23.199999999999946,0.016
829,100.0,0.016
830,-10.39999999999998,0.016
831,101.8,0.016
832,-10.39999999999998,0.015
833,75.2,0.015
834,101.4,0.015
835,104.7,0.015
836,102.7,0.015
837,99.7,0.015
838,38.89999999999995,0.015
839,101.8,0.015
840,101.2,0.015
841,100.6,0.015
842,103.8,0.015
843,101.8,0.015
844,101.4,0.015
845,30.79999999999999,0.014
846,103.8,0.014
847,101.2,0.014
848,175.3,0.014
849,101.8,0.014
850,99.7,0.014
851,101.8,0.014
852,101.8,0.014
853,102.1,0.014
854,100.4,0.014
855,101.8,0.014
856,100.4,0.014
857,100.5,0.014
858,101.2,0.014
859,102.1,0.013
860,100.0,0.013
861,102.7,0.013
862,101.2,0.013
863,101.8,0.013
864,77.20000000000013,0.013
865,101.2,0.013
866,100.6,0.013
867,101.7,0.013
868,100.6,0.013
869,-10.799999999999983,0.013
870,104.2,0.013
871,103.0,0.013
872,100.6,0.013
873,-10.399999999999979,0.013
874,101.2,0.013
875,99.7,0.012
876,101.2,0.012
877,101.2,0.012
878,101.2,0.012
879,101.2,0.012
880,100.8,0.012
881,102.1,0.012
882,102.5,0.012
883,100.6,0.012
884,104.2,0.012
885,102.7,0.012
886,175.1,0.012
887,-11.59999999999998,0.012
888,101.8,0.012
889,18.499999999999908,0.012
890,101.8,0.012
891,73.1,0.011
892,103.1,0.011
893,102.1,0.011
894,101.8,0.011
895,-10.999999999999982,0.011
896,102.1,0.011
897,101.8,0.011
898,99.7,0.011
899,101.2,0.011
900,-11.599999999999984,0.011
901,101.2,0.011
902,101.4,0.011
903,102.7,0.011
904,-10.19999999999998,0.011
905,102.1,0.011
906,101.8,0.011
907,101.2,0.011
908,-10.599999999999982,0.011
909,101.2,0.010
910,100.6,0.010
911,101.2,0.010
912,-10.199999999999982,0.010
913,103.2,0.010
914,101.2,0.010
915,101.2,0.010
916,101.8,0.010
917,105.7,0.010
918,100.3,0.010
919,101.2,0.010
920,101.2,0.010
921,101.8,0.010
922,101.8,0.010
923,75.0,0.010
924,101.8,0.010
925,32.6,0.010
926,101.2,0.010
927,75.0,0.010
928,101.3,0.010
929,102.3,0.010
930,101.2,0.010
931,101.4,0.010
932,101.8,0.010
933,101.8,0.010
934,101.2,0.010
935,103.6,0.010
936,102.3,0.010
937,101.2,0.010
938,101.2,0.010
939,100.0,0.010
940,101.8,0.010
941,106.9,0.010
942,101.2,0.010
943,101.8,0.010
944,-10.39999999999998,0.010
945,100.6,0.010
946,99.7,0.010
947,99.7,0.010
948,-10.599999999999982,0.010
949,55.3,0.010
950,-10.799999999999983,0.010
951,102.9,0.010
952,72.9,0.010
953,99.7,0.010
954,101.2,0.010
955,77.2,0.010
956,101.2,0.010
957,-10.999999999999982,0.010
958,-10.199999999999982,0.010
959,103.8,0.010
960,-10.39999999999998,0.010
961,-10.79999999999998,0.010
962,101.8,0.010
963,18.69999999999991,0.010
964,102.1,0.010
965,102.7,0.010
966,101.2,0.010
967,101.2,0.010
968,100.0,0.010
969,102.7,0.010
970,101.0,0.010
971,101.8,0.010
972,104.1,0.010
973,102.7,0.010
974,101.2,0.010
975,99.7,0.010
976,101.2,0.010
977,101.2,0.010
978,99.7,0.010
979,101.8,0.010
980,101.2,0.010
981,100.6,0.010
982,39.19999999999999,0.010
983,-10.39999999999998,0.010
984,14.799999999999917,0.010
985,101.2,0.010
986,100.6,0.010
987,101.8,0.010
988,99.7,0.010
989,99.7,0.010
990,105.3,0.010
991,-10.599999999999982,0.010
992,73.10000000000001,0.010
993,175.1,0.010
994,101.2,0.010
995,101.8,0.010
996,100.8,0.010
